method,query_count,ndcg_at_5,ndcg_at_5_ci95_low,ndcg_at_5_ci95_high,precision_at_5,precision_at_5_ci95_low,precision_at_5_ci95_high,recall_at_5,recall_at_5_ci95_low,recall_at_5_ci95_high,map_at_5,map_at_5_ci95_low,map_at_5_ci95_high,selected_mean_proxy_relevance
catf,278,0.7219648077,0.7071663802,0.7367632352,0.5050359712,0.4845982238,0.5254737187,0.5050359712,0.4845982238,0.5254737187,0.3493884892,0.326813992,0.3719629864,0.566672259
average_rating,278,0.7091665982,0.6943347074,0.723998489,0.4805755396,0.4608556329,0.5002954462,0.4805755396,0.4608556329,0.5002954462,0.3327817746,0.3103108054,0.3552527437,0.5578288129
catf_no_credibility,278,0.7219744804,0.7073143018,0.736634659,0.4985611511,0.4790136225,0.5181086797,0.4985611511,0.4790136225,0.5181086797,0.3474820144,0.3252906259,0.3696734028,0.5643044173
catf_uniform_weights,278,0.7231204258,0.7082649015,0.7379759501,0.5064748201,0.4863378159,0.5266118244,0.5064748201,0.4863378159,0.5266118244,0.3537529976,0.3314253317,0.3760806635,0.5681834676
